fat,lean,weight,m.start,group,sex,fatc,protein,ph
6.66,18.39,32.7,6,3,0,1,1,1
3.4,15.27,21.4,6,3,0,1,1,1
11.23,20.31,34,6,3,0,1,1,1
3.14,21.64,26.9,6,3,0,1,1,1
6.95,20.36,28.8,6,3,0,1,1,1
8.99,20.05,32.1,6,3,0,1,1,1
3.75,19.44,26.5,6,3,0,1,1,1
7.12,17.02,34.4,6,3,0,1,1,1
7.94,21.44,32.5,6,3,0,1,1,1
8.8,18.33,31.6,6,3,0,1,1,1
5.88,20.23,27.6,6,3,0,1,1,1
9.58,21.34,33.2,6,3,0,1,1,1
6.53,19.92,27.6,6,3,0,1,1,1
6.67,19.68,30.8,6,3,0,1,1,1
8.06,20.71,32.3,6,3,0,1,1,1
1.81,21.25,25.4,6,3,0,1,1,1
1.48,18.12,20.6,6,3,0,1,1,1
4.05,21.76,28.5,6,3,0,1,1,1
20.15,24.97,46.1,6,3,0,1,1,1
5.6,15.35,25.2,6,3,0,1,1,1
10.81,20.06,37.9,6,3,0,1,1,1
5.48,18.95,25.9,6,3,0,1,1,1
7.37,29.98,40.1,6,3,1,1,1,1
13.8,30.92,46.4,6,3,1,1,1,1
12.62,27.98,42.2,6,3,1,1,1,1
7.12,23.46,37.3,6,3,1,1,1,1
1.59,36.68,37.6,6,3,1,1,1,1
6.86,27.09,35.1,6,3,1,1,1,1
8.79,30.9,37.8,6,3,1,1,1,1
11.82,33.25,46.2,6,3,1,1,1,1
8.07,30.02,37.9,6,3,1,1,1,1
6.44,32.63,40.8,6,3,1,1,1,1
7.19,34.19,42,6,3,1,1,1,1
10.22,32.22,43,6,3,1,1,1,1
3.92,30.89,36.2,6,3,1,1,1,1
3.5,31.73,39.4,6,3,1,1,1,1
11.93,32.64,45.8,6,3,1,1,1,1
14.12,25.76,41.2,6,3,1,1,1,1
9.02,30.03,40.1,6,3,1,1,1,1
4.6,32.1,42.9,6,3,1,1,1,1
12.58,29.46,41.8,6,3,1,1,1,1
7.15,26.67,35.5,6,3,1,1,1,1
0.54,36.09,40.7,6,3,1,1,1,1
4.81,31.19,36.1,6,3,1,1,1,1
0,36.71,39.6,6,3,1,1,1,1
9.86,20.43,31.5,6,4,0,1,1,0
7.1,18.36,27.3,6,4,0,1,1,0
7.84,18.57,28.1,6,4,0,1,1,0
10.7,18.44,31.5,6,4,0,1,1,0
7.74,21.2,31.4,6,4,0,1,1,0
3.26,20.59,25.1,6,4,0,1,1,0
9.6,20.63,31.5,6,4,0,1,1,0
7.2,19.15,29,6,4,0,1,1,0
13.36,19.15,36.2,6,4,0,1,1,0
6.84,18.92,26.5,6,4,0,1,1,0
7.8,12.02,35.2,6,4,0,1,1,0
11.49,20.99,34.7,6,4,0,1,1,0
10.09,21.4,33.6,6,4,0,1,1,0
7.05,20.42,27.4,6,4,0,1,1,0
10.63,19.78,33.7,6,4,0,1,1,0
8.64,19.84,31.3,6,4,0,1,1,0
11.5,19.27,36.4,6,4,0,1,1,0
12.76,19.75,34.7,6,4,0,1,1,0
10.16,26.77,46.1,6,4,1,1,1,0
10.97,24.83,43.2,6,4,1,1,1,0
10.18,24.24,43.7,6,4,1,1,1,0
10.11,27.14,42.9,6,4,1,1,1,0
11.86,22.2,45,6,4,1,1,1,0
5.74,22.16,31.5,6,4,1,1,1,0
9.98,23.72,41.5,6,4,1,1,1,0
8.42,24.32,36.7,6,4,1,1,1,0
10.86,25.91,41.1,6,4,1,1,1,0
9.82,23.15,44.2,6,4,1,1,1,0
2.67,26.38,32.1,6,4,1,1,1,0
10.4,21.41,43.3,6,4,1,1,1,0
11.27,24.61,43.9,6,4,1,1,1,0
10.98,22.87,44.1,6,4,1,1,1,0
11.68,26.98,42.9,6,4,1,1,1,0
7.04,20.49,40.6,6,4,1,1,1,0
7.47,22.11,39.6,6,4,1,1,1,0
9.35,21.01,44.8,6,4,1,1,1,0
3.68,14.91,33.5,6,5,0,1,0,1
6.45,17.32,27.8,6,5,0,1,0,1
9.45,16.19,34.3,6,5,0,1,0,1
10.95,14.82,31,6,5,0,1,0,1
8.19,17.59,33.3,6,5,0,1,0,1
12.19,16.43,37.4,6,5,0,1,0,1
6.67,20.28,29,6,5,0,1,0,1
8.66,21.06,34.1,6,5,0,1,0,1
2.22,19.29,25.8,6,5,0,1,0,1
11.17,14.87,37.2,6,5,0,1,0,1
8.33,16.64,33,6,5,0,1,0,1
1.98,19.14,25,6,5,0,1,0,1
11.48,15.94,37.3,6,5,0,1,0,1
9.81,16.03,33.1,6,5,0,1,0,1
9.27,16.66,35.4,6,5,0,1,0,1
2.52,20.24,24.9,6,5,0,1,0,1
8.9,20.59,34.6,6,5,0,1,0,1
10.63,29.72,42.8,6,5,1,1,0,1
10.08,27.31,39.5,6,5,1,1,0,1
3.83,24.02,45.2,6,5,1,1,0,1
13.61,28.85,44,6,5,1,1,0,1
14.64,29.02,45.3,6,5,1,1,0,1
11.81,29.59,43.3,6,5,1,1,0,1
14.39,27.95,45.2,6,5,1,1,0,1
12.42,29.42,43.4,6,5,1,1,0,1
5.85,26.08,34.3,6,5,1,1,0,1
14.04,28.48,44.8,6,5,1,1,0,1
12.01,30.98,43.8,6,5,1,1,0,1
6.23,29.57,40.8,6,5,1,1,0,1
11.54,28.66,44.9,6,5,1,1,0,1
12.8,33.28,47,6,5,1,1,0,1
13.32,30.67,45.7,6,5,1,1,0,1
10.42,28.17,40.2,6,5,1,1,0,1
5.75,15.01,26.7,6,6,0,1,0,0
4.25,18.45,27.4,6,6,0,1,0,0
4.28,15.24,25.6,6,6,0,1,0,0
6.28,19.37,32.2,6,6,0,1,0,0
1.51,15.9,20.2,6,6,0,1,0,0
4.89,16.79,31,6,6,0,1,0,0
4.86,13.4,27.9,6,6,0,1,0,0
10.36,15.63,33,6,6,0,1,0,0
7.56,16.66,31.8,6,6,0,1,0,0
6.96,14.26,30.4,6,6,0,1,0,0
6.4,13.17,32.4,6,6,0,1,0,0
10.06,15.05,40.1,6,6,0,1,0,0
10.34,14.01,36.4,6,6,0,1,0,0
2.73,15.12,22.7,6,6,0,1,0,0
8.24,18.64,35.6,6,6,0,1,0,0
6.99,14.55,32.8,6,6,0,1,0,0
5.53,18.74,25.9,6,6,0,1,0,0
8.16,14.86,33.4,6,6,0,1,0,0
6.47,17.64,30.6,6,6,0,1,0,0
13.19,30.42,44.9,6,6,1,1,0,0
9.04,30.54,45,6,6,1,1,0,0
7.34,28.26,36.5,6,6,1,1,0,0
7.34,26.09,34.5,6,6,1,1,0,0
13.62,28.36,43.8,6,6,1,1,0,0
12.87,30.59,45,6,6,1,1,0,0
13.52,29.04,44.2,6,6,1,1,0,0
13.15,29.96,44.5,6,6,1,1,0,0
10,27.72,40.5,6,6,1,1,0,0
8.69,24.56,35.5,6,6,1,1,0,0
10.37,27.47,38.9,6,6,1,1,0,0
11.97,30.98,45.3,6,6,1,1,0,0
7.75,25.31,34.9,6,6,1,1,0,0
12.04,30.48,44.8,6,6,1,1,0,0
10.95,32.18,46.7,6,6,1,1,0,0
10.31,28.71,39.4,6,6,1,1,0,0
14.85,28.13,45.3,6,6,1,1,0,0
12.64,28.29,40.5,6,6,1,1,0,0
7.77,24.75,33.2,6,6,1,1,0,0
9.13,25.89,37.1,6,6,1,1,0,0
12.17,29.63,44.5,6,6,1,1,0,0
13.63,32.03,46.5,6,6,1,1,0,0
9.28,25.6,37.3,6,6,1,1,0,0
13.48,31,46.9,6,6,1,1,0,0
2.76,17.73,21.8,12,3,0,1,1,1
10.09,17.2,37.4,12,3,0,1,1,1
15.12,19.51,41,12,3,0,1,1,1
9.43,18.99,33.6,12,3,0,1,1,1
10.67,20.49,34.4,12,3,0,1,1,1
13.41,18.53,40.1,12,3,0,1,1,1
9.85,19.21,35.1,12,3,0,1,1,1
12.18,16.94,42.4,12,3,0,1,1,1
22.11,24.08,50,12,3,0,1,1,1
11.56,15.03,39,12,3,0,1,1,1
5.9,16.46,27.8,12,3,0,1,1,1
13.11,18.46,39.2,12,3,0,1,1,1
9.41,19.6,33.2,12,3,0,1,1,1
6.67,18.41,33.8,12,3,0,1,1,1
13.02,29.77,47,12,3,1,1,1,1
11.6,30.91,46.8,12,3,1,1,1,1
11.46,29.05,45.3,12,3,1,1,1,1
11.49,28.75,44.7,12,3,1,1,1,1
12,30.15,46.4,12,3,1,1,1,1
9.57,28.88,42.6,12,3,1,1,1,1
5.29,28.96,38.1,12,3,1,1,1,1
11.62,29.02,47.7,12,3,1,1,1,1
9.5,29.41,42.8,12,3,1,1,1,1
12.59,32.6,49.6,12,3,1,1,1,1
3.23,27.02,33.5,12,3,1,1,1,1
13.72,29.65,47.8,12,3,1,1,1,1
13.67,30.95,49.7,12,3,1,1,1,1
11.61,31.36,44.5,12,4,1,1,1,0
9.98,14.26,40,12,4,0,1,1,0
9.29,20.01,33.6,12,4,0,1,1,0
4.24,16.91,28.1,12,4,0,1,1,0
11.81,17.64,40.5,12,4,0,1,1,0
10.67,13.47,39.8,12,4,0,1,1,0
12.3,14.02,38,12,4,0,1,1,0
10.4,16.83,40.2,12,4,0,1,1,0
6.62,18.78,32.6,12,4,0,1,1,0
7.36,16.85,36.1,12,4,0,1,1,0
10.99,15.75,45.3,12,4,0,1,1,0
11.37,30.7,43.3,12,4,1,1,1,0
10.25,29.19,39.1,12,4,1,1,1,0
6.93,29.17,36,12,4,1,1,1,0
13.22,30.79,44,12,4,1,1,1,0
15.37,28.84,45.2,12,4,1,1,1,0
1.7,22.89,26.3,12,4,1,1,1,0
0.09,20.66,25.7,12,4,1,1,1,0
6.8,25.68,33.5,12,4,1,1,1,0
9.86,28.83,39.3,12,4,1,1,1,0
4.15,23.82,28.9,12,5,1,1,0,1
19.53,24.25,43,12,5,0,1,0,1
11.05,20.26,31,12,5,0,1,0,1
17.13,23.06,42,12,5,0,1,0,1
16.07,22.75,42,12,5,0,1,0,1
17.78,23,41,12,5,0,1,0,1
19.31,25.52,46,12,5,0,1,0,1
23.79,24.22,47,12,5,0,1,0,1
10.22,23.52,35,12,5,0,1,0,1
12.82,22.82,36,12,5,0,1,0,1
17.6,24.11,43,12,5,0,1,0,1
1.91,22.39,26,12,5,0,1,0,1
21.39,23.67,46,12,5,0,1,0,1
16.32,25.63,43,12,5,0,1,0,1
25.16,28.26,57,12,5,0,1,0,1
9.93,28.29,39.4,12,5,1,1,0,1
13.91,31.74,47.6,12,5,1,1,0,1
12.45,30.15,44,12,5,1,1,0,1
13.28,29.35,44,12,5,1,1,0,1
15.59,32.7,50.4,12,5,1,1,0,1
12.06,28.49,41.6,12,5,1,1,0,1
14.18,31.6,45.6,12,5,1,1,0,1
14.1,30.99,46.7,12,5,1,1,0,1
12.24,30.13,43.8,12,5,1,1,0,1
13.31,30.77,45.8,12,5,1,1,0,1
21.81,25.28,49,12,6,0,1,0,0
15.58,21.1,37.6,12,6,0,1,0,0
13.58,22.23,37,12,6,0,1,0,0
24.23,27.63,53.6,12,6,0,1,0,0
7.61,21.13,30.4,12,6,0,1,0,0
16.06,24.23,43.3,12,6,0,1,0,0
11.05,23.69,35.2,12,6,0,1,0,0
22.86,24.7,48.4,12,6,0,1,0,0
9.88,24.94,36.2,12,6,0,1,0,0
22.14,24.35,47.9,12,6,0,1,0,0
2.37,23.31,26.9,12,6,0,1,0,0
8.08,21.68,32.5,12,6,0,1,0,0
4.84,20.6,29.6,12,6,0,1,0,0
13.41,30.33,45.1,12,6,1,1,0,0
11.54,32.06,22,12,6,1,1,0,0
12.33,29.7,42.9,12,6,1,1,0,0
5.11,27.56,32.6,12,6,1,1,0,0
14.5,29.96,45.8,12,6,1,1,0,0
11.44,31.49,44.9,12,6,1,1,0,0
6.38,28.99,36,12,6,1,1,0,0
8.53,28.67,39.4,12,6,1,1,0,0
5.53,27.92,34.8,12,6,1,1,0,0
6.85,23.88,31.6,12,6,1,1,0,0
11.47,29.58,42.1,12,6,1,1,0,0
7.38,27.27,35.1,12,6,1,1,0,0
8.33,32.38,42.3,12,6,1,1,0,0
13.97,32.24,48.2,12,6,1,1,0,0
3.45,30.83,36.4,12,6,1,1,0,0
2.44,16.37,22.8,18,3,0,1,1,1
7.5,16.36,38.8,18,3,0,1,1,1
8.63,13.76,37.5,18,3,0,1,1,1
8.05,20.93,32.7,18,3,0,1,1,1
4.61,15.13,28.9,18,3,0,1,1,1
2.67,21.97,27.7,18,3,0,1,1,1
6.53,11.71,38.2,18,3,0,1,1,1
7.45,18.35,30.9,18,3,0,1,1,1
4.49,18.4,28.4,18,3,0,1,1,1
5.35,17.42,32.6,18,3,0,1,1,1
8.56,30.66,40.4,18,3,1,1,1,1
3.9,32.18,35.7,18,3,1,1,1,1
9.01,28.44,38.8,18,3,1,1,1,1
13.61,31.08,46.1,18,3,1,1,1,1
10.82,30.72,42.8,18,3,1,1,1,1
5.71,29.68,36.4,18,3,1,1,1,1
12.49,30.72,44.7,18,3,1,1,1,1
8.69,29.17,39.2,18,3,1,1,1,1
9.8,31.25,42.4,18,3,1,1,1,1
3.64,26.12,30.8,18,3,1,1,1,1
14.79,30.76,46.4,18,3,1,1,1,1
11.6,30.88,43.6,18,3,1,1,1,1
6.1,21.71,30,18,4,0,1,1,0
5.86,21.7,32,18,4,0,1,1,0
11.47,23.3,36.2,18,4,0,1,1,0
13.08,23.7,37,18,4,0,1,1,0
10.34,22.62,37,18,4,0,1,1,0
12.46,25.21,40,18,4,0,1,1,0
6.72,21.77,32,18,4,0,1,1,0
5.69,25.7,34,18,4,0,1,1,0
14.61,25.11,43,18,4,0,1,1,0
9.73,29.17,40.9,18,4,1,1,1,0
8.72,27.06,37.9,18,4,1,1,1,0
4.13,27.42,33.6,18,4,1,1,1,0
10.64,28.93,41.5,18,4,1,1,1,0
13.06,25.29,39,18,5,0,1,0,1
7.4,20.19,28.3,18,5,0,1,0,1
10.24,23.77,35.4,18,5,0,1,0,1
16.53,22.88,38.6,18,5,0,1,0,1
6.33,23.21,26.9,18,5,0,1,0,1
24.88,24.1,48,18,5,0,1,0,1
7.65,22.26,30.9,18,5,0,1,0,1
8.02,24.59,33.8,18,5,0,1,0,1
0.88,21.54,23.4,18,5,0,1,0,1
12.42,22.83,39,18,5,0,1,0,1
14.81,24.14,42.3,18,5,0,1,0,1
24.83,28.17,56.7,18,5,0,1,0,1
3.06,24.77,28.9,18,5,1,1,0,1
3.11,29.02,33.9,18,5,1,1,0,1
8.43,27.95,37.2,18,5,1,1,0,1
7.97,27.43,36.5,18,5,1,1,0,1
16.02,31.92,49.6,18,5,1,1,0,1
7.79,27.72,36.7,18,5,1,1,0,1
9.44,28.81,39.9,18,5,1,1,0,1
7.82,29.67,38.9,18,5,1,1,0,1
6.46,29.04,36.4,18,5,1,1,0,1
11.31,29.27,41.7,18,5,1,1,0,1
5.75,21.86,29.7,18,6,0,1,0,0
3.14,19.59,24.5,18,6,0,1,0,0
8.5,24.06,35.2,18,6,0,1,0,0
19.52,24.05,46,18,6,0,1,0,0
6.23,24.46,32.1,18,6,0,1,0,0
14.96,22.06,39.4,18,6,0,1,0,0
1.95,20.1,23.9,18,6,0,1,0,0
2.6,20.56,25.6,18,6,0,1,0,0
12.95,28.36,42.7,18,6,1,1,0,0
7.11,27.35,35.9,18,6,1,1,0,0
14.05,27.35,42.9,18,6,1,1,0,0
4.57,28.61,34.1,18,6,1,1,0,0
3.18,25.79,30,18,6,1,1,0,0
3,26.08,30.3,18,6,1,1,0,0
3.11,22.85,26.7,18,6,1,1,0,0
6.82,27.32,35.1,18,6,1,1,0,0
6.63,26.29,33.3,18,6,1,1,0,0
9.8,30.17,41.4,18,6,1,1,0,0
11.47,29.82,43.2,18,6,1,1,0,0
