week,group,death,weight,sex,label
23,group 6,1,30,female,group 6   female 
23,group 6,1,30,female,group 6   female 
27,group 6,0,24,female,group 6   female 
27,group 6,0,24,female,group 6   female 
27,group 6,0,24,female,group 6   female 
27,group 6,0,24,female,group 6   female 
27,group 6,0,24,female,group 6   female 
27,group 6,0,24,female,group 6   female 
42,group 6,1,23,female,group 6   female 
52,group 6,0,15,female,group 6   female 
52,group 6,0,15,female,group 6   female 
52,group 6,0,15,female,group 6   female 
52,group 6,0,15,female,group 6   female 
52,group 6,0,15,female,group 6   female 
52,group 6,0,15,female,group 6   female 
52,group 6,0,15,female,group 6   female 
52,group 6,0,15,female,group 6   female 
54,group 6,1,14,female,group 6   female 
57,group 6,1,13,female,group 6   female 
60,group 6,1,12,female,group 6   female 
65,group 6,1,11,female,group 6   female 
67,group 6,1,10,female,group 6   female 
68,group 6,1,8,female,group 6   female 
68,group 6,1,8,female,group 6   female 
72,group 6,1,7,female,group 6   female 
73,group 6,0,0,female,group 6   female 
73,group 6,0,0,female,group 6   female 
73,group 6,0,0,female,group 6   female 
73,group 6,0,0,female,group 6   female 
73,group 6,0,0,female,group 6   female 
73,group 6,0,0,female,group 6   female 
73,group 6,0,0,female,group 6   female 
27,group 6,0,24,male,group 6   male 
27,group 6,0,24,male,group 6   male 
27,group 6,0,24,male,group 6   male 
27,group 6,0,24,male,group 6   male 
27,group 6,0,24,male,group 6   male 
27,group 6,0,24,male,group 6   male 
27,group 6,0,24,male,group 6   male 
27,group 6,0,24,male,group 6   male 
42,group 6,1,23,male,group 6   male 
52,group 6,0,15,male,group 6   male 
52,group 6,0,15,male,group 6   male 
52,group 6,0,15,male,group 6   male 
52,group 6,0,15,male,group 6   male 
52,group 6,0,15,male,group 6   male 
52,group 6,0,15,male,group 6   male 
52,group 6,0,15,male,group 6   male 
52,group 6,0,15,male,group 6   male 
55,group 6,1,14,male,group 6   male 
63,group 6,1,12,male,group 6   male 
63,group 6,1,12,male,group 6   male 
64,group 6,1,11,male,group 6   male 
70,group 6,1,10,male,group 6   male 
73,group 6,0,0,male,group 6   male 
73,group 6,0,0,male,group 6   male 
73,group 6,0,0,male,group 6   male 
73,group 6,0,0,male,group 6   male 
73,group 6,0,0,male,group 6   male 
73,group 6,0,0,male,group 6   male 
73,group 6,0,0,male,group 6   male 
73,group 6,0,0,male,group 6   male 
73,group 6,0,0,male,group 6   male 
73,group 6,0,0,male,group 6   male 
16,group 5,1,31,female,group 5   female 
19,group 5,1,30,female,group 5   female 
24,group 5,1,29,female,group 5   female 
27,group 5,0,21,female,group 5   female 
27,group 5,0,21,female,group 5   female 
27,group 5,0,21,female,group 5   female 
27,group 5,0,21,female,group 5   female 
27,group 5,0,21,female,group 5   female 
27,group 5,0,21,female,group 5   female 
27,group 5,0,21,female,group 5   female 
27,group 5,0,21,female,group 5   female 
45,group 5,1,20,female,group 5   female 
52,group 5,0,14,female,group 5   female 
52,group 5,0,14,female,group 5   female 
52,group 5,0,14,female,group 5   female 
52,group 5,0,14,female,group 5   female 
52,group 5,0,14,female,group 5   female 
52,group 5,0,14,female,group 5   female 
63,group 5,1,13,female,group 5   female 
64,group 5,1,12,female,group 5   female 
73,group 5,1,11,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
73,group 5,0,0,female,group 5   female 
14,group 5,1,31,male,group 5   male 
16,group 5,1,30,male,group 5   male 
27,group 5,0,22,male,group 5   male 
27,group 5,0,22,male,group 5   male 
27,group 5,0,22,male,group 5   male 
27,group 5,0,22,male,group 5   male 
27,group 5,0,22,male,group 5   male 
27,group 5,0,22,male,group 5   male 
27,group 5,0,22,male,group 5   male 
27,group 5,0,22,male,group 5   male 
31,group 5,1,21,male,group 5   male 
46,group 5,1,20,male,group 5   male 
47,group 5,1,19,male,group 5   male 
48,group 5,1,18,male,group 5   male 
52,group 5,0,11,male,group 5   male 
52,group 5,0,11,male,group 5   male 
52,group 5,0,11,male,group 5   male 
52,group 5,0,11,male,group 5   male 
52,group 5,0,11,male,group 5   male 
52,group 5,0,11,male,group 5   male 
52,group 5,0,11,male,group 5   male 
52,group 5,0,11,male,group 5   male 
65,group 5,1,10,male,group 5   male 
73,group 5,0,0,male,group 5   male 
73,group 5,0,0,male,group 5   male 
73,group 5,0,0,male,group 5   male 
73,group 5,0,0,male,group 5   male 
73,group 5,0,0,male,group 5   male 
73,group 5,0,0,male,group 5   male 
73,group 5,0,0,male,group 5   male 
73,group 5,0,0,male,group 5   male 
73,group 5,0,0,male,group 5   male 
73,group 5,0,0,male,group 5   male 
4,group 4,1,31,female,group 4   female 
7,group 4,1,30,female,group 4   female 
9,group 4,1,29,female,group 4   female 
12,group 4,1,28,female,group 4   female 
13,group 4,1,27,female,group 4   female 
22,group 4,1,26,female,group 4   female 
27,group 4,0,18,female,group 4   female 
27,group 4,0,18,female,group 4   female 
27,group 4,0,18,female,group 4   female 
27,group 4,0,18,female,group 4   female 
27,group 4,0,18,female,group 4   female 
27,group 4,0,18,female,group 4   female 
27,group 4,0,18,female,group 4   female 
27,group 4,0,18,female,group 4   female 
52,group 4,0,11,female,group 4   female 
52,group 4,0,11,female,group 4   female 
52,group 4,0,11,female,group 4   female 
52,group 4,0,11,female,group 4   female 
52,group 4,0,11,female,group 4   female 
52,group 4,0,11,female,group 4   female 
52,group 4,0,11,female,group 4   female 
59,group 4,1,10,female,group 4   female 
64,group 4,1,9,female,group 4   female 
72,group 4,1,7,female,group 4   female 
72,group 4,1,7,female,group 4   female 
73,group 4,0,0,female,group 4   female 
73,group 4,0,0,female,group 4   female 
73,group 4,0,0,female,group 4   female 
73,group 4,0,0,female,group 4   female 
73,group 4,0,0,female,group 4   female 
73,group 4,0,0,female,group 4   female 
73,group 4,0,0,female,group 4   female 
17,group 4,1,31,male,group 4   male 
18,group 4,1,30,male,group 4   male 
27,group 4,0,21,male,group 4   male 
27,group 4,0,21,male,group 4   male 
27,group 4,0,21,male,group 4   male 
27,group 4,0,21,male,group 4   male 
27,group 4,0,21,male,group 4   male 
27,group 4,0,21,male,group 4   male 
27,group 4,0,21,male,group 4   male 
27,group 4,0,21,male,group 4   male 
27,group 4,1,21,male,group 4   male 
33,group 4,1,20,male,group 4   male 
39,group 4,1,19,male,group 4   male 
45,group 4,1,18,male,group 4   male 
48,group 4,1,17,male,group 4   male 
50,group 4,1,16,male,group 4   male 
52,group 4,0,9,male,group 4   male 
52,group 4,0,9,male,group 4   male 
52,group 4,0,9,male,group 4   male 
52,group 4,0,9,male,group 4   male 
52,group 4,0,9,male,group 4   male 
52,group 4,0,9,male,group 4   male 
52,group 4,0,9,male,group 4   male 
60,group 4,1,8,male,group 4   male 
61,group 4,1,7,male,group 4   male 
63,group 4,1,6,male,group 4   male 
73,group 4,0,0,male,group 4   male 
73,group 4,0,0,male,group 4   male 
73,group 4,0,0,male,group 4   male 
73,group 4,0,0,male,group 4   male 
73,group 4,0,0,male,group 4   male 
73,group 4,0,0,male,group 4   male 
12,group 3,1,31,female,group 3   female 
20,group 3,1,30,female,group 3   female 
27,group 3,0,22,female,group 3   female 
27,group 3,0,22,female,group 3   female 
27,group 3,0,22,female,group 3   female 
27,group 3,0,22,female,group 3   female 
27,group 3,0,22,female,group 3   female 
27,group 3,0,22,female,group 3   female 
27,group 3,0,22,female,group 3   female 
27,group 3,0,22,female,group 3   female 
47,group 3,1,21,female,group 3   female 
52,group 3,0,14,female,group 3   female 
52,group 3,0,14,female,group 3   female 
52,group 3,0,14,female,group 3   female 
52,group 3,0,14,female,group 3   female 
52,group 3,0,14,female,group 3   female 
52,group 3,0,14,female,group 3   female 
52,group 3,0,14,female,group 3   female 
62,group 3,1,13,female,group 3   female 
65,group 3,1,11,female,group 3   female 
65,group 3,1,11,female,group 3   female 
70,group 3,1,10,female,group 3   female 
73,group 3,0,0,female,group 3   female 
73,group 3,0,0,female,group 3   female 
73,group 3,0,0,female,group 3   female 
73,group 3,0,0,female,group 3   female 
73,group 3,0,0,female,group 3   female 
73,group 3,0,0,female,group 3   female 
73,group 3,0,0,female,group 3   female 
73,group 3,0,0,female,group 3   female 
73,group 3,0,0,female,group 3   female 
73,group 3,0,0,female,group 3   female 
21,group 3,1,31,male,group 3   male 
27,group 3,0,23,male,group 3   male 
27,group 3,0,23,male,group 3   male 
27,group 3,0,23,male,group 3   male 
27,group 3,0,23,male,group 3   male 
27,group 3,0,23,male,group 3   male 
27,group 3,0,23,male,group 3   male 
27,group 3,0,23,male,group 3   male 
27,group 3,0,23,male,group 3   male 
46,group 3,1,22,male,group 3   male 
52,group 3,0,14,male,group 3   male 
52,group 3,0,14,male,group 3   male 
52,group 3,0,14,male,group 3   male 
52,group 3,0,14,male,group 3   male 
52,group 3,0,14,male,group 3   male 
52,group 3,0,14,male,group 3   male 
52,group 3,0,14,male,group 3   male 
52,group 3,0,14,male,group 3   male 
53,group 3,1,13,male,group 3   male 
67,group 3,1,12,male,group 3   male 
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
73,group 3,0,0,male,group 3 male
